image,output 0,output 1,flag,username,timestamp
"{""path"":""flagged\\image\\e32b1d613eb0ca0d2dd3\\Screenshot 2023-11-07 115220.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\devin\\AppData\\Local\\Temp\\gradio\\879a95f20d6a04b580079a2de0a7c057a92c67b5\\Screenshot 2023-11-07 115220.png"",""size"":231302,""orig_name"":""Screenshot 2023-11-07 115220.png"",""mime_type"":""""}","{""path"":""flagged\\output 0\\152eb1385667e24c7fec\\image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",fake (98.70% confidence),,,2023-12-14 17:00:18.276461
"{""path"":""flagged\\image\\c95e85508965aa45b69e\\Screenshot 2023-11-07 115220.png"",""url"":""http://127.0.0.1:7860/file=C:\\Users\\devin\\AppData\\Local\\Temp\\gradio\\879a95f20d6a04b580079a2de0a7c057a92c67b5\\Screenshot 2023-11-07 115220.png"",""size"":231302,""orig_name"":""Screenshot 2023-11-07 115220.png"",""mime_type"":""""}","{""path"":""flagged\\output 0\\2393e9eb1da0884af3ae\\image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",fake (98.70% confidence),,,2023-12-14 17:00:40.103210
